variable,value,count,fraction
sex,female,6308,0.525054103545863
sex,male,5706,0.474945896454137
education_level,<missing>,5334,0.443982020975528
education_level,education_code_4,2814,0.234226735475279
education_level,education_code_3,2245,0.186865323788913
education_level,education_code_6,530,0.044115198834576
education_level,education_code_5,498,0.041451638753621
education_level,education_code_2,408,0.033960379557183
education_level,education_code_8,91,0.007574496420842
education_level,education_code_1,64,0.005327118361911
education_level,education_code_7,30,0.002497086732146
smoking_status,never,4976,0.414183452638588
smoking_status,<missing>,3609,0.300399533877143
smoking_status,former,2263,0.18836357582282
smoking_status,current,1166,0.097053437656068
cgm_device_type,abbott_freestyle_libre_pro,5979,0.497669388716664
cgm_device_type,abbott_freestyle_libre_pro_iq,3426,0.285167304811054
cgm_device_type,<missing>,2609,0.217163306472282
vitamin_use,0,8394,0.698684867654403
vitamin_use,1,1875,0.156067920759114
vitamin_use,<missing>,1745,0.145247211586482
hormone_use,0,9161,0.762527051772932
hormone_use,<missing>,1745,0.145247211586482
hormone_use,1,1108,0.092225736640586
nsaid_aspirin_use,0,8476,0.705510238055602
nsaid_aspirin_use,1,1793,0.149242550357916
nsaid_aspirin_use,<missing>,1745,0.145247211586482
a10_medication_use,0,10026,0.834526388588136
a10_medication_use,<missing>,1745,0.145247211586482
a10_medication_use,1,243,0.020226402530381
family_history_diabetes,<missing>,10096,0.840352921591477
family_history_diabetes,1,1918,0.159647078408523
family_history_cvd,0,5731,0.477026802064258
family_history_cvd,<missing>,5462,0.454636257699351
family_history_cvd,1,821,0.068336940236391
known_diabetes,0,10117,0.842100882303979
known_diabetes,<missing>,1854,0.154319960046612
known_diabetes,1,43,0.003579157649409
exclude_diabetes_or_a10,0,9178,0.763942067587814
exclude_diabetes_or_a10,<missing>,2580,0.214749458964541
exclude_diabetes_or_a10,1,256,0.021308473447645
amed_model2_covariates_complete,False,10966,0.912768436823706
amed_model2_covariates_complete,True,1048,0.087231563176294
hpdi_model2_covariates_complete,False,10985,0.914349925087398
hpdi_model2_covariates_complete,True,1029,0.085650074912602
amed_model3_covariates_complete,False,10968,0.912934909272515
amed_model3_covariates_complete,True,1046,0.087065090727485
hpdi_model3_covariates_complete,False,10987,0.914516397536208
hpdi_model3_covariates_complete,True,1027,0.085483602463792
amed_model4_covariates_complete,False,11697,0.973614116863659
amed_model4_covariates_complete,True,317,0.026385838136341
hpdi_model4_covariates_complete,False,11705,0.974280006658898
hpdi_model4_covariates_complete,True,309,0.025719993341102
