variable,participant_count,nonmissing_or_complete_count,missing_or_incomplete_count,nonmissing_or_complete_fraction
age_years,12014,10941,1073,0.910687531213584
sex,12014,12014,0,1
education_level,12014,6680,5334,0.556017979024472
smoking_status,12014,8405,3609,0.699600466122857
sleep_duration_hours_day,12014,8446,3568,0.703013151323456
physical_activity_met_h_day,12014,2154,9860,0.179290827368071
vitamin_use,12014,10269,1745,0.854752788413517
hormone_use,12014,10269,1745,0.854752788413517
cgm_device_type,12014,9405,2609,0.782836690527718
alcohol_intake_g_day,12014,9737,2277,0.810471117030131
bmi,12014,10382,1632,0.864158481771267
nsaid_aspirin_use,12014,10269,1745,0.854752788413517
family_history_diabetes,12014,1918,10096,0.159647078408523
family_history_cvd,12014,6552,5462,0.545363742300649
a10_medication_use,12014,10269,1745,0.854752788413517
known_diabetes,12014,10160,1854,0.845680039953388
exclude_diabetes_or_a10,12014,9434,2580,0.785250541035459
amed_model2_covariates_complete,12014,1048,10966,0.087231563176294
hpdi_model2_covariates_complete,12014,1029,10985,0.085650074912602
amed_model3_covariates_complete,12014,1046,10968,0.087065090727485
hpdi_model3_covariates_complete,12014,1027,10987,0.085483602463792
amed_model4_covariates_complete,12014,317,11697,0.026385838136341
hpdi_model4_covariates_complete,12014,309,11705,0.025719993341102
