collection_date,food_items,logging_day,total_logging_days,diet_logging_events,raw_diet_logging_events,timezone
2021-12-13,12,0,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-14,14,1,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-15,14,2,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-16,9,3,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-17,9,4,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-18,7,5,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-19,14,6,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-20,13,7,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-21,14,8,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-22,16,9,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-23,8,10,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-24,15,11,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-25,10,12,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-12-26,12,13,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-08-26,8,0,8,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-08-27,8,1,8,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-08-28,4,2,8,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-08-29,6,3,8,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-09-01,4,6,8,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-09-03,5,8,8,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-09-05,5,10,8,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2021-09-06,4,11,8,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2022-09-15,13,0,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2022-09-16,9,1,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
2022-09-17,9,2,14,../diet_logging_events.parquet,../raw_diet_logging_events.parquet,asia/jerusalem
