collection_date,short_food_name,product_name,food_category,weight_g,calories_kcal,carbohydrate_g,lipid_g,protein_g,sodium_mg,alcohol_g,dietary_fiber_g,eaten_in_restaurant,local_timestamp,timezone
2021-12-13,Coffee,Instant Coffee,Drinks,6.0,21.18,4.524,0.03,0.7319999999999999,2.22,0.0,0.0,False,2021-12-13 11:14:00,asia/jerusalem
2021-12-13,Schnitzel,Chicken schnitzel,Poultry and its products,150.0,353.94,21.0,21.0,19.5,1050.0,,0.735,False,2021-12-13 12:48:00,asia/jerusalem
2021-12-13,Potatoes,Mashed potatoes with margarine,"Pasta, Grains and Side dishes",221.0,260.4264,40.663999999999994,7.9338999999999995,3.8232999999999997,615.927,0.0,4.046289,False,2021-12-13 12:48:00,asia/jerusalem
2021-12-13,Grilled vegetables,Antipasto,Vegetables,130.0,140.66,11.817,8.567,2.093,745.836,0.0,2.7180400000000002,False,2021-12-13 12:48:00,asia/jerusalem
2021-12-13,Pita,Pita,Bread,100.0,275.0,55.7,1.2,9.1,536.0,,2.2,False,2021-12-13 12:48:00,asia/jerusalem
2021-12-13,Tahini,Tehina,Med Oil and fats,100.0,699.0,13.3,62.8,20.5,235.0,,,False,2021-12-13 12:48:00,asia/jerusalem
2021-12-13,Apple,Apple,Fruits,182.0,94.64,25.1342,0.3094,0.4732,1.82,0.0,4.368,False,2021-12-13 18:11:00,asia/jerusalem
2021-12-13,Mandarin,Clementine/Tangerine,Fruits,100.0,59.39,11.54,0.31,0.81,2.0,0.0,1.8,False,2021-12-13 18:59:00,asia/jerusalem
2021-12-13,Yellow Cheese,Yellow cheese 22% fat,Hard cheese,25.0,74.75,0.05,5.5,6.25,167.5,0.0,0.0,False,2021-12-13 20:51:00,asia/jerusalem
2021-12-13,Pasta,Cooked spaghetti pasta,"Pasta, Grains and Side dishes",302.0,477.16,93.1972,2.8086,17.516,3.02,,5.436,False,2021-12-13 20:51:00,asia/jerusalem
2021-12-13,Ricotta Cheese,Classic ricotta 5% fat Italian style,"milk, cream cheese and yogurts",30.0,28.8,2.1,1.5,2.1,30.0,,0.0,False,2021-12-13 21:56:00,asia/jerusalem
2021-12-13,Bread,Sliced Uniform bread,Bread,35.0,97.125,17.64,0.805,3.045,168.0,,1.785,False,2021-12-13 21:56:00,asia/jerusalem
2021-12-14,Biscuit,Elite cereal bar flaky biscuit,sweets,5.0,21.7,3.6,0.6,0.45,11.0,,0.21,False,2021-12-14 07:35:00,asia/jerusalem
2021-12-14,Cappuccino,Cappuccino ready coffee,Drinks,240.0,76.8,5.952000000000001,3.984,3.984,55.2,0.0,0.24,False,2021-12-14 07:35:00,asia/jerusalem
2021-12-14,Green Tea,Jasmine green tea,Drinks,250.0,1.0,0.0,0.0,0.225,3.0,,0.0,False,2021-12-14 08:06:00,asia/jerusalem
2021-12-14,Coffee,ground coffee,Drinks,5.0,17.65,3.77,0.025,0.61,1.85,0.0,0.0,False,2021-12-14 09:16:00,asia/jerusalem
2021-12-14,Cooked vegetables,"Cooked vegetables, onions, carrots, cauliflower, peppers, celery and canola oil",Vegetables,304.0,175.7728,12.2512,11.0656,3.952,1543.3776,0.0,6.083647999999999,False,2021-12-14 13:28:00,asia/jerusalem
2021-12-14,Fish balls,Fish sticks,Fish and seafood,105.0,152.25,10.5,5.25,15.75,,,,False,2021-12-14 13:28:00,asia/jerusalem
2021-12-14,Apple,Apple,Fruits,182.0,94.64,25.1342,0.3094,0.4732,1.82,0.0,4.368,False,2021-12-14 15:24:00,asia/jerusalem
2021-12-14,Pear,Pear with skin,Fruits,113.0,64.41,13.706900000000001,0.1582,0.4068,1.13,0.0,3.503,False,2021-12-14 18:25:00,asia/jerusalem
2021-12-14,Tomatoes,tomato,Vegetables,80.0,16.703999999999997,2.1519999999999997,0.16,0.7040000000000001,4.0,0.0,0.96,False,2021-12-14 22:25:00,asia/jerusalem
2021-12-14,Hummus Salad,Hummus restaurants,Pulses and products,30.0,98.1,5.61,7.02,0.15,196.8,,3.3,False,2021-12-14 22:25:00,asia/jerusalem
2021-12-14,Tahini,Green tahini salad,Med Oil and fats,21.0,41.3868,0.4851,3.5132999999999996,1.6002,19.7463,0.0,0.873243,False,2021-12-14 22:25:00,asia/jerusalem
2021-12-14,Baguette,Bonjour baguette bread,Bread,60.0,161.4,33.6,0.6,5.4,323.4,0.0,1.8,False,2021-12-14 22:25:00,asia/jerusalem
