tabular_field_name,field_string,description_string,min_plausible_value,max_plausible_value,stability,field_type,units,sampling_rate,list_of_tags,debut,version,transformation,customer_field,pandas_dtype,dependency,data_coding
collection_timestamp,Collection timestamp,Collection timestamp,,,Accruing,column,Time,,"Diet, Lifestyle and enviroment ",2019-01-29,,,ready,"datetime64[ns, Asia/Jerusalem]",,
collection_date,Date,Datetime column reflecting the time food item was logged,,,Accruing,column,Time,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,datetime64[ns],,
food_id,Food ID,IDs in the diet logging app representing specific food ,,,Accruing,column,,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,int,,
weight_g,Weight,Weight of food item logged,0.0,2000.0,Accruing,column,g,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,float,,
short_food_name,Short food name,Classification of food item logged into a short food name category,,,Accruing,column,,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,string,,
food_category,Food category,Classification of food item logged into a food category,,,Accruing,column,,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,string,,
product_name,Product name ,Product name of food logged,,,Accruing,column,,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,string,,
calories_kcal,Calories,Calories of food item logged,0.0,5000.0,Accruing,column,kcal,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,float,,
carbohydrate_g,Carbohydrate intake per food logged,Carbohydrate intake per food logged,,,Accruing,column,g,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,float,,
lipid_g,Fat intake per food logged,Fat intake per food logged,,,Accruing,column,g,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,float,,
protein_g,Protein intake per food logged,Protein intake per food logged,,,Accruing,column,g,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,float,,
sodium_mg,Sodium intake per food logged,Sodium intake per food logged,,,Accruing,column,mg,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,float,,
alcohol_g,Alcohol intake per food logged,Alcohol intake per food logged,,,Accruing,column,g,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,float,,
dietary_fiber_g,Dietary fiber intake per food logged,Dietary fiber intake per food logged,,,Accruing,column,g,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,float,,
local_timestamp,Local timestamp,Local timestamp of food logging,,,Accruing,column,Time,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,datetime64[ns],,
eaten_in_restaurant,Eaten at restaurant indication,Indication if food was eaten at home or at a restaurant,,,Accruing,column,,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,bool,,
timezone,Timezone,Timezone,,,Accruing,column,,,"Diet, Lifestyle and enviroment ",2019-09-01,,,ready,string,,
