tabular_field_name,field_string,description_string,folder_id,feature_set,field_type,strata,data_coding,array,pandas_dtype,bulk_file_extension,relative_location,units,bulk_dictionary,sampling_rate,transformation,list_of_tags,stability,sexed,debut,completed
cgm_time_series,CGM timeseries,File containing the participants' CGM timeseries,17,timeseries,Time series file (individual),Primary,,Single,string,.parquet,cgm/cgm.parquet,,cgm__time_series,15 minutes,,,Accruing,Both sexes,2018-12-27,
connection_id,ConnectionID,CGM device connection id,17,cgm,Text,Auxiliary,,Single,int,,cgm/cgm.parquet,,,,,,Accruing,Both sexes,2018-12-28,
collection_timestamp,Collection timestamp,CGM connection first data point timestamp,17,cgm,Datetime,Collection time,,Single,"datetime64[ns, Asia/Jerusalem]",,cgm/cgm.parquet,,,,,,Accruing,Both sexes,2018-12-29,
cgm_connection_first_date,CGM first date,CGM connection first date,17,cgm,Date,Collection time,,Single,"datetime64[ns, Asia/Jerusalem]",,cgm/cgm.parquet,,,,,,Accruing,Both sexes,2018-12-30,
cgm_connection_last_date,CGM last date,CGM connection last date,17,cgm,Date,Collection time,,Single,"datetime64[ns, Asia/Jerusalem]",,cgm/cgm.parquet,,,,,,Accruing,Both sexes,2018-12-31,
cgm_device_type,CGM Device type,CGM Device type,17,cgm,Text,Auxiliary,017_01,Single,category,,cgm/cgm.parquet,,,,,,Accruing,Both sexes,2018-12-27,
number_of_cgm_datapoints_lost_in_qc,CGM datapoints lost in QC,Number of CGM datapoints lost in QC,17,cgm,Integer,Auxiliary,,Single,int,,cgm/cgm.parquet,,,,,,Accruing,Both sexes,2018-12-28,
percentage_of_cgm_datapoints_lost_in_qc,Percentage of CGM datapoints lost in QC,,17,cgm,Continuous,Auxiliary,,Single,float,,cgm/cgm.parquet,,,,,,Accruing,Both sexes,2018-12-29,
number_of_cgm_days_available_for_the_connection,Number of CGM days available,Number of CGM days available for the connection,17,cgm,Integer,Auxiliary,,Single,int,,cgm/cgm.parquet,,,,,,Accruing,Both sexes,2018-12-30,
number_of_cgm_datapoints_available_for_the_connection,Number of CGM datapoints available,Number of CGM datapoints available for the connection,17,cgm,Integer,Auxiliary,,Single,int,,cgm/cgm.parquet,,,,,,Accruing,Both sexes,2018-12-31,
timezone,Timezone,TImezone of measurement,17,cgm,Text,Collection time,,Single,category,,cgm/cgm.parquet,,,,,,Accruing,Both sexes,2019-01-01,
cgm_1st_quartile,1st quantile,First quantile of all glucose values.,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2018-12-27,
cgm_3rd_quartile,3rd quantile,Third quantile of all glucose values.,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2018-12-28,
cgm_above_140,% above 140,Percent of glucose measures that were larger than 140,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2018-12-29,
cgm_above_180,% above 180,Percent of glucose measures that were larger than 180,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2018-12-30,
cgm_above_250,% above 250,Percent of glucose measures that were larger than 250,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2018-12-31,
cgm_below_54,% below 54,Percent of glucose measures that were lower than 54,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-01,
cgm_below_70,% below 70,Percent of glucose measures that were lower than 70,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-02,
cgm_in_range_63_140,% in range 63-140,Percent of glucose measures that were in a specified range of glucose values (63-140),17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-03,
cgm_in_range_70_180,% in range 70-180,Percent of glucose measures that were in a specified range of glucose values (70-180),17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-04,
cgm_adrr,ADRR,Average daily risk range (ADRR) is a variability measure that was designed to be sensitive to both hyperglycemia and hypoglycemia. The ADRR is composed of the HBGI and LGBI.,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-05,
cgm_auc,AUC,"Hourly average AUC. This measure integrates, to some extent, the severity of a high or low glucose along with the duration of the abnormality. It's calculated for each hour in the CGM, then averaged for each day over a 24-hour period, then once again averaged between all days to receive a single AUC measure.",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-06,
cgm_cogi,COGI,"Continuous Glucose Monitoring Index (COGI). COGI uses three measures of the CGM - time in range, time below range and glucose variability (GV) and averages them using a weighted mean, usually with weights of 50%, 35% and 15% accordingly.",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-07,
cgm_conga,Conga,"Continuous Overall Net Glycemic Action (CONGA). This measure assesses intra-day glycemic variability, by calculating the standard deviation of differences in glucose measures taken n hours apart.",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-08,
cgm_cv,CV,Coefficient of variation of all glucose values.,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-09,
cgm_cv_measures_mean,CVmean,Mean of all daily CVs.,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-10,
cgm_cv_measures_sd,CVsd,Standard deviations of all daily CVs.,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-11,
cgm_ea1c,eA1C,"A linear transformation of the mean glucose value, meant to estimate the HbA1C blood test. Calculated by the following formula: (46.7 + mean(Glucose))/28.7.",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-12,
cgm_gmi,GMI,"A linear transformation of the mean glucose value, meant to improve the eA1C measure.",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-13,
cgm_grade,GRADE,Glycaemic Risk Assessment Diabetes Equation (GRADE). This clinical risk score aims to evaluate the degree of risk presented by a glucose profile.,17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-14,
cgm_grade_eugly,GRADE eugly,"Percentage of the GRADE score that is attributed to euglycemia (glucose values within the normal range, default is 70-140).",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-15,
cgm_grade_hyper,GRADE hyper,"Percentage of the GRADE score that is attributed to hyperglycemia (glucose values above a target range, default is 140).",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-16,
cgm_grade_hypo,GRADE hypo,"Percentage of the GRADE score that is attributed to hypoglycemia (glucose values above a target range, default is 80).",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-17,
cgm_gvp,GVP,"Glucose Variability Percentage (GVP), which is designed to capture both the amplitude and frequency of glucose oscillations.",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-18,
cgm_hbgi,HBGI,High Blood Glucose Index (HBGI),17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-19,
cgm_hyper_index,Hyper index,"This is a weighted average of hyperglycemic values, with larger penalties for more extreme values.",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-20,
cgm_hypo_index,Hypo index,"This is a weighted average of hypoglycemic values, with progressively larger penalties for more extreme values",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-21,
cgm_igc,IGC,"Index of Glycemic Control (IGC), a sum of the hypoglycemia and hyperglycemia indexes. This index was shown to be highly correlated with percentage of time in target range.",17,iglu,Continuous,Primary,,Single,float,,cgm/iglu.parquet,,,,,,Accruing,Both sexes,2019-01-22,
