summary_type,mapping_status,hpdi_parent_group,hpdi_component,food_category,food_id_count,event_count
mapping_status,mapped,,,,6879,2514775
mapping_status,not_applicable,,,,523,114242
mapping_status,unmapped_missing_labels,,,,368,11942
mapped_parent_group,mapped,animal,,,2049,562048
mapped_parent_group,mapped,healthy_plant,,,1985,1361758
mapped_parent_group,mapped,less_healthy_plant,,,2845,590969
mapped_component,mapped,animal,animal_fat,,30,14389
mapped_component,mapped,animal,dairy,,862,285235
mapped_component,mapped,animal,eggs,,43,65119
mapped_component,mapped,animal,fish_seafood,,313,51015
mapped_component,mapped,animal,meat,,737,129000
mapped_component,mapped,animal,miscellaneous_animal_foods,,64,17290
mapped_component,mapped,healthy_plant,fruits,,231,232341
mapped_component,mapped,healthy_plant,legumes,,271,66985
mapped_component,mapped,healthy_plant,nuts,,145,137601
mapped_component,mapped,healthy_plant,tea_coffee,,74,259920
mapped_component,mapped,healthy_plant,vegetable_oils,,121,116167
mapped_component,mapped,healthy_plant,vegetables,,791,444816
mapped_component,mapped,healthy_plant,whole_grains,,352,103928
mapped_component,mapped,less_healthy_plant,fruit_juice,,82,19412
mapped_component,mapped,less_healthy_plant,potatoes,,52,10016
mapped_component,mapped,less_healthy_plant,refined_grains,,1103,283409
mapped_component,mapped,less_healthy_plant,sugar_sweetened_beverages,,77,10166
mapped_component,mapped,less_healthy_plant,sweets_desserts,,1531,267966
