food_id,canonical_short_food_name,canonical_product_name,canonical_food_category,reviewed_food_category,resolved_food_category,resolved_food_category_key,category_source,food_id_event_count,food_id_weight_g_total,hpdi_component,hpdi_parent_group,suggested_hpdi_component,suggested_hpdi_parent_group,mapping_status,mapping_basis,review_notes,confidence
1012927,,Arich pea soup prepared from Knorr powder,Soups and sauces,,Soups and sauces,soups and sauces,original,116,28882.5,legumes,,,,mapped,mixed_or_ambiguous_food_category,principal_legume_soup,high
1014339,,Bitter Lemon Whips carbonated drink,fruit juices and soft drinks,,fruit juices and soft drinks,fruit juices and soft drinks,original,114,28380.0,sugar_sweetened_beverages,,,,mapped,mixed_or_ambiguous_food_category,fruit_drink_category_flavoured_drink,high
1013835,,"Diet concentrate limonene, Frigat",fruit juices and soft drinks,,fruit juices and soft drinks,fruit juices and soft drinks,original,113,2795.0,,,,,not_applicable,mixed_or_ambiguous_food_category,not_sugar_sweetened_or_nonfood_sweetener,high
1010724,,Canned snipers,Canned veg and fruits,,Canned veg and fruits,canned veg and fruits,original,112,1170.0,,,,,not_applicable,mixed_or_ambiguous_food_category,conservative_no_unique_table11_group,medium
1007071,,Potato McDonalds,Fast Foods,,Fast Foods,fast foods,original,111,8294.0,potatoes,,potatoes,less_healthy_plant,mapped,mixed_or_ambiguous_food_category,table11_potato_or_corn_chips,high
1007663,,Cooked prunes,Canned veg and fruits,,Canned veg and fruits,canned veg and fruits,original,111,2826.0,,,,,not_applicable,mixed_or_ambiguous_food_category,conservative_no_unique_table11_group,medium
1010044,,Fruit-flavored syrup of al flavors diluted Vitaminchik Asam,fruit juices and soft drinks,,fruit juices and soft drinks,fruit juices and soft drinks,original,111,32516.0,sugar_sweetened_beverages,,fruits,healthy_plant,mapped,mixed_or_ambiguous_food_category,fruit_drink_category,high
1008678,,Low-calorie or diet mayonnaise,Soups and sauces,,Soups and sauces,soups and sauces,original,110,1113.5,miscellaneous_animal_foods,,,,mapped,mixed_or_ambiguous_food_category,table11_mayonnaise_or_creamy_dressing,high
1008682,,Chinese style soy sauce,Soups and sauces,,Soups and sauces,soups and sauces,original,106,2065.2,,,,,not_applicable,mixed_or_ambiguous_food_category,outside_18_groups_condiment_additive_or_water,high
1012540,,Knorr chicken soup powder,Soups and sauces,,Soups and sauces,soups and sauces,original,106,507.0,meat,,meat,animal,mapped,mixed_or_ambiguous_food_category,explicit_meat,high
1012738,,Sous Chef hot chili sauce,Soups and sauces,,Soups and sauces,soups and sauces,original,105,1357.0,,,,,not_applicable,mixed_or_ambiguous_food_category,outside_18_groups_condiment_additive_or_water,high
1014301,,Alpha protein powder,Others,,Others,others,original,105,4702.5,,,,,not_applicable,mixed_or_ambiguous_food_category,outside_18_groups_supplement_or_additive,high
1014187,,Apple strudel,Snacks,,Snacks,snacks,original,104,12080.0,sweets_desserts,,fruits,healthy_plant,mapped,mixed_or_ambiguous_food_category,principal_sweet_or_dessert,high
1008569,,Miso is a concentrated soybean puree,Soups and sauces,,Soups and sauces,soups and sauces,original,104,716.0,legumes,,,,mapped,mixed_or_ambiguous_food_category,table11_legume_or_soy_food,high
1007035,,Royal Lindt Roldin Donut,Deep fried foods,,Deep fried foods,deep fried foods,original,102,9902.4,sweets_desserts,,,,mapped,mixed_or_ambiguous_food_category,principal_sweet_or_dessert,high
1007945,,cocoa mass,Others,,Others,others,original,102,806.0,sweets_desserts,,,,mapped,mixed_or_ambiguous_food_category,table11_sweet_or_syrup,high
1009854,,Sweet and sour sauce,Soups and sauces,,Soups and sauces,soups and sauces,original,101,2868.5,,,,,not_applicable,mixed_or_ambiguous_food_category,conservative_no_unique_table11_group,medium
1008035,,fish sauce,Soups and sauces,,Soups and sauces,soups and sauces,original,100,3333.96,fish_seafood,,fish_seafood,animal,mapped,mixed_or_ambiguous_food_category,explicit_fish_or_seafood,high
