metric,value,notes
input_rows,2640959,
selected_rows,2059935,
excluded_other_cohort_or_stage_rows,581024,
invalid_numeric_weight_g,0,
invalid_numeric_calories_kcal,0,
invalid_numeric_carbohydrate_g,0,
invalid_numeric_lipid_g,0,
invalid_numeric_protein_g,0,
invalid_numeric_alcohol_g,0,
missing_food_id_rows,0,
unmatched_food_id_rows,0,
excluded_missing_labels_rows,8052,
retained_selected_rows,2051883,
selected_cohort,10k,
selected_research_stage,00_00_visit,
daily_rows,125374,
participant_rows,9737,
unique_participants,9737,
minimum_collection_date,2019-09-01,
maximum_collection_date,2023-03-21,
event_count_before_missing_label_exclusion,2059935,
excluded_missing_labels_event_count,8052,
excluded_missing_labels_event_share,0.003908861201931,
retained_event_count,2051883,
missing_label_event_rule,exclude event,retain participant and logging day
classified_food_event_share,1,
unresolved_food_event_share,0,
weight_g_event_coverage,0.999730004098674,
calories_kcal_event_coverage,1,
energy_observed_event_count,2046943,
energy_complete_macro_formula_event_count,156,
energy_partial_macro_formula_event_count,4784,
energy_recovery_formula,4*carbohydrate_g + 9*lipid_g + 4*protein_g + 7*resolved_alcohol_g,
energy_formula_missing_component_rule,missing or negative macronutrient component contributes 0 kcal,
participants_with_complete_energy,9737,
participants_with_incomplete_energy,0,
alcoholic_drink_event_count,30209,
alcohol_observed_event_count,23374,
alcohol_energy_formula_event_count,975,
alcohol_pre_recovery_unresolved_event_count,5860,
alcohol_standard_abv_event_count,5827,
alcohol_zero_fallback_event_count,33,
alcohol_unresolved_event_count,0,
alcohol_invalid_observed_event_count,25,
alcohol_g_event_coverage,1,
standard_abv_food_id_count,32,
standard_abv_weight_interpretation,weight_g treated as mL proxy,
ethanol_density_g_per_ml,0.789,
unrecoverable_alcohol_rule,set alcohol_g to 0,
participants_with_complete_alcohol,9737,
participants_with_incomplete_alcohol,0,
mapped_event_count,827261,
mapped_event_share,0.403171623333299,
not_applicable_event_count,1224622,
not_applicable_event_share,0.596828376666701,
unmapped_missing_labels_event_count,0,
unmapped_missing_labels_event_share,0,
unmatched_food_id_event_count,0,
unmatched_food_id_event_share,0,
missing_food_id_event_count,0,
missing_food_id_event_share,0,
fruit_event_count,193387,
fruit_weight_g_total,21407338.7314,
vegetables_event_count,335476,
vegetables_weight_g_total,36685933.745,
whole_grains_event_count,77987,
whole_grains_weight_g_total,5171140.022,
nuts_event_count,85934,
nuts_weight_g_total,1440342.9975,
legumes_event_count,49376,
legumes_weight_g_total,4961488.15,
fish_event_count,39698,
fish_weight_g_total,4597958.76,
red_processed_meat_event_count,45403,
red_processed_meat_weight_g_total,6031346.3506,
