metric,value,notes
participant_rows,9737,
unique_participants,9737,
scoring_sample,all rows in participant intake input,
food_intake_unit,mean daily grams proxy,
food_component_count,7,
fruit_median,135.428571428571,
fruit_missing_intake_count,0,
fruit_equal_to_median_count,2,
fruit_one_point_count,4867,
vegetables_median,256.5,
vegetables_missing_intake_count,0,
vegetables_equal_to_median_count,4,
vegetables_one_point_count,4868,
whole_grains_median,27.9285714285714,
whole_grains_missing_intake_count,0,
whole_grains_equal_to_median_count,5,
whole_grains_one_point_count,4865,
nuts_median,6.53846153846154,
nuts_missing_intake_count,0,
nuts_equal_to_median_count,9,
nuts_one_point_count,4866,
legumes_median,22.9285714285714,
legumes_missing_intake_count,0,
legumes_equal_to_median_count,3,
legumes_one_point_count,4867,
fish_median,27.6363636363636,
fish_missing_intake_count,0,
fish_equal_to_median_count,7,
fish_one_point_count,4863,
red_processed_meat_median,34,
red_processed_meat_missing_intake_count,0,
red_processed_meat_equal_to_median_count,6,
red_processed_meat_one_point_count,4872,
population_rows,12014,
population_unique_participants,12014,
matched_sex_count,9737,
missing_sex_count,0,
female_count,5096,
male_count,4641,
female_code,0,
male_code,1,
female_alcohol_one_point_range_g_day,5-15 inclusive,
male_alcohol_one_point_range_g_day,10-25 inclusive,
food_components_complete_count,9737,
alcohol_complete_count,9737,
alcohol_incomplete_count,0,
alcohol_score_available_count,9737,
alcohol_score_zero_count,8410,
alcohol_score_one_count,1327,
complete_amed_count,9737,
incomplete_amed_count,0,
energy_adjustment_method,residual method: AMED raw score regressed on mean daily energy,residual plus mean raw score
energy_adjustment_method_source,analyst implementation based on HPP cited reference 71,exact HPP code unavailable
energy_adjustment_eligible_count,9737,
energy_adjustment_missing_count,0,
energy_adjustment_mean_energy_kcal,1748.25908095601,
energy_adjustment_mean_raw_score,3.63510321454247,
energy_adjustment_intercept,2.83891834595796,
energy_adjustment_slope_per_kcal,0.000455415834677,
energy_adjusted_score_energy_correlation,-1.55581031321666E-17,
truncation_lower_quantile,0.005,
truncation_upper_quantile,0.995,
truncation_lower_cutpoint,-0.105972458411842,
truncation_upper_cutpoint,7.16779757603106,
truncated_energy_adjusted_score_mean,3.63483814777644,
truncated_energy_adjusted_score_sd,1.62314716473866,
standardized_energy_adjusted_score_mean,-1.4266314556958E-16,
standardized_energy_adjusted_score_sd,1,
energy_adjusted_score_quintile_1_count,1948,
energy_adjusted_score_quintile_2_count,1947,
energy_adjusted_score_quintile_3_count,1947,
energy_adjusted_score_quintile_4_count,1947,
energy_adjusted_score_quintile_5_count,1948,
amed_total_score_0_count,234,
amed_total_score_1_count,778,
amed_total_score_2_count,1521,
amed_total_score_3_count,2052,
amed_total_score_4_count,2068,
amed_total_score_5_count,1720,
amed_total_score_6_count,1028,
amed_total_score_7_count,309,
amed_total_score_8_count,27,
amed_total_score_missing_count,0,
