hpdi_component,scoring_direction,intake_column,intake_basis,quintile_method,valid_participant_count,missing_participant_count,distinct_intake_values,intake_min,intake_max,nominal_p20,nominal_p40,nominal_p60,nominal_p80,q1_participant_count,q1_intake_min,q1_intake_max,q2_participant_count,q2_intake_min,q2_intake_max,q3_participant_count,q3_intake_min,q3_intake_max,q4_participant_count,q4_intake_min,q4_intake_max,q5_participant_count,q5_intake_min,q5_intake_max,observed_quintile_count
whole_grains,positive,mean_daily_whole_grains_g_proxy,mean daily grams proxy over observed diet days,average_rank_floor; identical values stay tied,9737,0,3622,0,527.0,7.14285714285714,20.4285714285714,38.2857142857143,66.834065934066,1946,0,7.125,1947,7.14285714285714,20.4166666666667,1950,20.4285714285714,38.2857142857143,1947,38.3214285714286,66.8461538461538,1947,66.8571428571429,527.0,5
fruits,positive,mean_daily_fruits_g_proxy,mean daily grams proxy over observed diet days,average_rank_floor; identical values stay tied,9737,0,6567,0,2237.14285714286,46.8571428571429,94.4811428571429,149.042857142857,235.184615384615,1947,0,46.7857142857143,1948,46.8571428571429,94.4685714285714,1948,94.5,149.071428571429,1948,149.076923076923,235.230769230769,1946,235.25,2237.14285714286,5
vegetables,positive,mean_daily_vegetables_g_proxy,mean daily grams proxy over observed diet days,average_rank_floor; identical values stay tied,9737,0,7605,0,2016.28571428571,151.295238095238,225.057142857143,304.9,416.985714285714,1948,0,151.285714285714,1947,151.333333333333,225.0,1948,225.142857142857,304.916666666667,1948,305.0,417.0,1946,417.153846153846,2016.28571428571,5
nuts,positive,mean_daily_nuts_g_proxy,mean daily grams proxy over observed diet days,average_rank_floor; identical values stay tied,9737,0,2520,0,216.916666666667,1.5,5.5,11.4285714285714,21.7857142857143,1947,0,1.46153846153846,1951,1.5,5.5,1952,5.53846153846154,11.4285714285714,1941,11.4545454545455,21.7857142857143,1946,21.8,216.916666666667,5
legumes,positive,mean_daily_legumes_g_proxy,mean daily grams proxy over observed diet days,average_rank_floor; identical values stay tied,9737,0,3401,0,557.764285714286,4.72727272727273,16.9285714285714,34.0,65.0,1947,0,4.71428571428571,1947,4.72727272727273,16.9230769230769,1952,16.9285714285714,34.0,1944,34.0769230769231,65.0,1947,65.2,557.764285714286,5
vegetable_oils,positive,mean_daily_vegetable_oils_g_proxy,mean daily grams proxy over observed diet days,average_rank_floor; identical values stay tied,9737,0,2902,0,726.5,5.35714285714286,12.2727272727273,20.7692307692308,35.1907692307692,1939,0,5.33333333333333,1955,5.35714285714286,12.25,1947,12.2727272727273,20.75,1949,20.7692307692308,35.2,1947,35.2142857142857,726.5,5
tea_coffee,positive,mean_daily_tea_coffee_g_proxy,mean daily grams proxy over observed diet days,average_rank_floor; identical values stay tied,9737,0,5395,0,4954.57142857143,45.0,135.589010989011,259.657142857143,422.571428571429,1950,0,45.0,1945,45.0909090909091,135.571428571429,1948,135.615384615385,259.666666666667,1948,259.785714285714,422.571428571429,1946,422.857142857143,4954.57142857143,5
fruit_juice,reverse,mean_daily_fruit_juice_g_proxy,mean daily grams proxy over observed diet days,average_rank_floor; identical values stay tied,9737,0,1209,0,966.428571428571,0.0,0.0,2.5,23.5714285714286,0,0,0.0,5277,0.0,0.0,572,0.023076923076923,2.5,1946,2.57142857142857,23.5714285714286,1942,23.75,966.428571428571,5
refined_grains,reverse,mean_daily_refined_grains_g_proxy,mean daily grams proxy over observed diet days,average_rank_floor; identical values stay tied,9737,0,6959,0,726.503571428571,91.7952380952381,143.714285714286,191.008571428571,251.923076923077,1948,0,91.7857142857143,1949,91.8333333333333,143.714285714286,1946,143.75,191.014285714286,1947,191.071428571429,251.923076923077,1947,251.928571428571,726.503571428571,5
potatoes,reverse,mean_daily_potatoes_g_proxy,mean daily grams proxy over observed diet days,average_rank_floor; identical values stay tied,9737,0,911,0,229.615384615385,0.0,0.0,1.28571428571429,8.57142857142857,0,0,0.0,5623,0.0,0.0,222,0.035714285714286,1.28571428571429,1953,1.30769230769231,8.57142857142857,1939,8.69230769230769,229.615384615385,5
sugar_sweetened_beverages,reverse,mean_daily_sugar_sweetened_beverages_g_proxy,mean daily grams proxy over observed diet days,average_rank_floor; identical values stay tied,9737,0,725,0,1413.21428571429,0.0,0.0,0.0,18.4615384615385,0,0,0.0,6900,0.0,0.0,0,0.0,0.0,856,0.071428571428571,18.3846153846154,1981,18.4615384615385,1413.21428571429,5
