summary_type,hpdi_component,metric,value
overall,,script_version,2026-08-08-hpdi-scores-v3
overall,,participant_rows,9737
overall,,participants_with_all_18_intake_values,9737
overall,,participants_with_any_missing_intake_value,0
overall,,participants_with_all_18_component_weights_complete,9378
overall,,participants_with_incomplete_component_weights,359
overall,,hpdi_raw_score_min,27
overall,,hpdi_raw_score_max,82
overall,,hpdi_raw_score_mean,"54,0552531580569"
overall,,hpdi_raw_score_standard_deviation,7.87312259188522
overall,,participants_with_energy_adjusted_score,9737
overall,,hpdi_energy_adjusted_score_min,"34,0832394722498"
overall,,hpdi_energy_adjusted_score_max,79.6463732978615
overall,,hpdi_energy_adjusted_score_mean,"54,0569990756907"
energy_adjustment,,script_version,2026-08-08-hpdi-scores-v3
energy_adjustment,,method,winsorize raw score at 0.5th/99.5th percentiles
energy_adjustment,,eligible_participant_count,9737
energy_adjustment,,missing_or_nonpositive_energy_count,0
energy_adjustment,,winsor_lower_quantile,0.005
energy_adjustment,,winsor_upper_quantile,0.995
energy_adjustment,,winsor_lower_value,35
energy_adjustment,,winsor_upper_value,75
energy_adjustment,,mean_energy_kcal,"1729,78018096802"
energy_adjustment,,mean_winsorized_raw_score,"54,0569990756907"
energy_adjustment,,slope_score_per_kcal,-0.003153479477482
energy_adjustment,,adjusted_score_min,"34,0832394722498"
energy_adjustment,,adjusted_score_max,79.6463732978615
energy_adjustment,,adjusted_score_mean,"54,0569990756907"
component,whole_grains,valid_participant_count,9737
component,whole_grains,missing_participant_count,0
component,whole_grains,distinct_intake_values,3622
component,whole_grains,observed_quintile_count,5
component_score_distribution,whole_grains,score_1_participant_count,1946
component_score_distribution,whole_grains,score_2_participant_count,1947
component_score_distribution,whole_grains,score_3_participant_count,1950
component_score_distribution,whole_grains,score_4_participant_count,1947
component_score_distribution,whole_grains,score_5_participant_count,1947
component,fruits,valid_participant_count,9737
component,fruits,missing_participant_count,0
