section,metric,value
protocol,script_version,2026-08-18-ahei-input-audit-v4
protocol,score_protocol_name,modified_AHEI_2010_7_component
protocol,score_component_count,7
protocol,score_raw_min,0.0
protocol,score_raw_max,70.0
protocol,excluded_score_components,trans_fat|pufa|sodium
protocol,standard_drink_g,14.0
protocol,alcohol_nondrinker_score,2.5
protocol,whole_grain_proxy_variable,whole_grain_proxy_g
protocol,full_mapping_missing_label_food_id_reference_count,368
protocol,vegetables_kcal_per_serving,30.0
protocol,fruit_kcal_per_serving,70.0
protocol,ssb_plus_fruit_juice_kcal_per_serving,70.0
protocol,red_plus_processed_meat_kcal_per_serving,220.0
protocol,nuts_legumes_g_per_serving,28.35
events,selected_rows,39
events,retained_selected_rows,39
events,excluded_missing_labels_rows,0
events,target_participant_count,1
events,excluded_missing_label_food_id_count,0
events,excluded_missing_label_participant_count,0
events,participant_day_count_preserved,3
events,retained_participant_day_count,3
events,participant_days_with_only_excluded_events,0
amed_shared,target_participant_count,1
amed_shared,matched_participant_count,1
amed_shared,alcohol_complete_participant_count,1
amed_shared,alcohol_g_source_complete_count,1
amed_shared,energy_complete_participant_count,1
amed_shared,energy_source_complete_count,1
amed_shared,amed_shared_input_complete_count,1
amed_shared,standard_drink_g,14.0
amed_shared,standard_drink_g_parameter_status,verified_and_frozen_hpp
amed_shared,drinks_per_day_formula,mean_daily_alcohol_g / 14.0
population,target_participant_count,1
population,sex_matched_count,0
population,valid_sex_matched_count,0
lookup_scan,scanned_file_count,11
lookup_scan,file_limit,0
lookup_scan,file_limit_reached,False
lookup_scan,likely_candidate_count,0
