metric,value
input_rows,2640959
invalid_collection_timestamp_rows,0
all_food_labels_missing_rows,11942
restaurant_flag_unrecognized_rows,0
invalid_numeric_weight_g,0
invalid_numeric_calories_kcal,0
invalid_numeric_carbohydrate_g,0
invalid_numeric_lipid_g,0
invalid_numeric_protein_g,0
invalid_numeric_sodium_mg,0
invalid_numeric_alcohol_g,0
invalid_numeric_dietary_fiber_g,0
daily_rows,164625
participant_stage_rows,13302
unique_participants,10197
cohorts,10k
research_stages,00_00_visit|01_00_call|01_01_visit|02_00_visit|03_00_call|03_01_visit|04_00_visit
minimum_collection_date,2019-09-01
maximum_collection_date,2023-03-21
