food_category,event_count,unique_food_ids,weight_g_total,weight_g_nonmissing_events,event_share
Vegetables,410259,656,46773804.62,410092,0.155344706222247
Drinks,258996,72,40381212.18,258850,0.098068921175982
sweets,246425,1440,9471044.779,246407,0.093308907862636
Fruits,218179,115,24474739.133,218135,0.082613550607942
"milk, cream cheese and yogurts",196719,388,16994300.2208,196683,0.07448771450068
"Pasta, Grains and Side dishes",149082,535,19150628.952,149046,0.056449948673948
Bread,145835,529,11831966.294,145813,0.055220471048585
"Nuts, seeds, and products",136172,131,2253186.3755,136170,0.05156157289833
Med Oil and fats,88582,68,3344598.76,88578,0.033541603637164
Poultry and its products,67520,302,10460998.338,67510,0.025566470361713
Hard cheese,66610,220,2666540.931,66607,0.025221898560334
Eggs and their products,65119,43,5487597.525,65116,0.024657330916535
Pulses and products,63902,250,6458863.41,63898,0.024196513463481
Bread_wholewheat,57717,151,3315468.385,57709,0.021854561165092
Fish and seafood,50699,310,5875756.398,50692,0.019197193140825
"Beef, veal, lamb, and other meat products",43476,287,6570228.5106,43467,0.016462201798665
Oils and fats,41089,79,675245.40518,41088,0.015558363458123
Soups and sauces,39175,242,1222638.85,39174,0.014833626724232
Canned veg and fruits,37732,180,1780514.2964,37728,0.01428723429633
Alcoholic Drinks,37224,77,7761674.76,37186,0.014094879928087
fruit juices and soft drinks,34437,188,6068385.18,34429,0.01303958145507
Others,32709,118,175258.72135,32709,0.01238527368278
Cereals,20645,167,842699.54,20643,0.007817236087346
Spices and herbs,16758,72,171509.777,16758,0.006345422250024
sweet milk products,16462,242,2485624.181,16459,0.006233341751992
Snacks,15700,162,642648.24,15696,0.005944810199628
,15324,380,1358646.8,15315,0.005802437675102
Proccessed meat products,15088,105,1220048.06,15085,0.005713076196942
"Pasta, Grains and Side dishes wholewheat",13987,33,1365632.83,13982,0.005296182182306
Low calories and diet drinks,12551,28,3804820.2,12505,0.004752440306722
baked goods,9651,54,861498.8,9649,0.003654354346281
Fast Foods,6826,23,903674.3,6824,0.002584667160679
Industrialized vegetarian food ready to eat,5872,111,503088.84,5872,0.002223434744727
Deep fried foods,4437,12,374562.8,4437,0.001680071519475
