food_id,canonical_short_food_name,canonical_product_name,canonical_food_category,food_id_event_count,food_id_weight_g_total,hpdi_hpdi_component,hpdi_mapping_status,amed_amed_component,amed_mapping_status,ahei_component,mapping_status,mapping_basis,proxy_metric
1006772,Turkey Shawarma,Roasted turkey shawarma,"Beef, veal, lamb, and other meat products",1240,217166.8,meat,mapped,red_processed_meat,mapped,red_plus_processed_meat,mapped,reviewed_amed_red_processed_meat,resolved_energy_kcal
1006814,Coffee,Instant Coffee,Drinks,34371,234448.5,,,,,,not_applicable,outside_mahei7_food_components,
1006779,Beet,beet,Vegetables,2927,180386.43,,,,,,not_applicable,outside_mahei7_food_components,
1006780,Cooked green beans,Green beans cooked with garlic and olive oil,Vegetables,878,89516.0,,,,,,not_applicable,outside_mahei7_food_components,
1006783,Chicken Pad Thai,Chicken Pad Thai,"Pasta, Grains and Side dishes",577,167137.2,,,,,,not_applicable,outside_mahei7_food_components,
1006771,Hamantaschen,Hamman's ears on the basis of butter and filled with chocolate,sweets,511,24488.5,,,,,,not_applicable,outside_mahei7_food_components,
1006812,Halva,Mini Halva in different flavors Achava,sweets,480,10303.0,,,,,,not_applicable,outside_mahei7_food_components,
1006803,Pate,Chicken liver spread,Poultry and its products,446,20616.0,,,,,,not_applicable,outside_mahei7_food_components,
1006782,,A yellow cheese sandwich with a full-flavored flour bite bun,Bread_wholewheat,176,19437.6,,,,,,not_applicable,outside_mahei7_food_components,
1006792,,Cabbage soup,Vegetables,174,49260.0,,,,,,not_applicable,outside_mahei7_food_components,
1006795,,Yopla 3% fat yogurt with a refined texture,sweet milk products,157,29200.0,,,,,,not_applicable,outside_mahei7_food_components,
1006798,Sausages,Smoked pork sausages,"Beef, veal, lamb, and other meat products",154,14776.0,,,,,,not_applicable,outside_mahei7_food_components,
1006776,,Goat cheese 5% total fat for spreading/with extra olives,"milk, cream cheese and yogurts",153,8288.0,,,,,,not_applicable,outside_mahei7_food_components,
1006815,Fruit Drink,Nasty peach,fruit juices and soft drinks,152,44118.0,,,,,,not_applicable,outside_mahei7_food_components,
1006801,,Field buckwheat flakes,sweets,119,2717.0,,,,,,not_applicable,outside_mahei7_food_components,
1006809,,Danish butter flavored cookies (fur),sweets,117,3193.5,,,,,,not_applicable,outside_mahei7_food_components,
1006810,,Creamy vegan cheese with natural cheese flavor 15% fat,Industrialized vegetarian food ready to eat,83,2086.5,,,,,,not_applicable,outside_mahei7_food_components,
1006804,,Banana in fried batter,Fruits,77,7593.7,,,,,,not_applicable,outside_mahei7_food_components,
1006770,,Chinese style chicken soup with corn,Poultry and its products,71,21320.0,,,,,,not_applicable,outside_mahei7_food_components,
1006781,,white bread cl,Bread,59,3203.0,,,,,,not_applicable,outside_mahei7_food_components,
1006790,,Seasoned soy snack roasted sycamore,Snacks,53,1756.0,,,,,,not_applicable,outside_mahei7_food_components,
1006800,,"Vegetable soup with carrots, celery and margarine",Vegetables,46,13750.0,,,,,,not_applicable,outside_mahei7_food_components,
1006805,,Foam roses cookies based on homemade butter,sweets,31,1574.5,,,,,,not_applicable,outside_mahei7_food_components,
1006774,,Dry tapioca grains,"Pasta, Grains and Side dishes",26,961.0,,,,,,not_applicable,outside_mahei7_food_components,
1006787,,Real chicken schnitzel with home-made coating/crispy from Mama Chicken,Poultry and its products,26,3246.0,,,,,,not_applicable,outside_mahei7_food_components,
1006793,,Nuts and silan health snack without added sugar Abrahamson,sweets,22,651.0,,,,,,not_applicable,outside_mahei7_food_components,
1006797,,Hummus salad with mushrooms and fried onions,Pulses and products,20,2060.0,,,,,,not_applicable,outside_mahei7_food_components,
1006775,,Chopped liver delicacy with fried onions Yachiam,"Beef, veal, lamb, and other meat products",19,980.0,,,,,,not_applicable,outside_mahei7_food_components,
1006777,,Magnum ice cream with berries and white chocolate,sweets,18,1126.0,,,,,,not_applicable,outside_mahei7_food_components,
1006802,,Gluten-free lentil bread with no added sugar Zen food,Bread_wholewheat,15,510.0,,,,,,not_applicable,outside_mahei7_food_components,
1006811,,Beef and chicken meatballs cooked in pureed tomato sauce without oil,"Beef, veal, lamb, and other meat products",15,1636.0,,,,,,not_applicable,outside_mahei7_food_components,
1006784,,Beef steak with fried fat,"Beef, veal, lamb, and other meat products",10,1816.0,,,,,,not_applicable,outside_mahei7_food_components,
1006785,,Glacier sherbet different flavors Vitaminchik,sweets,10,800.0,,,,,,not_applicable,outside_mahei7_food_components,
1006796,,Chopped salad with lettuce and chicken steak in Thousand Islands Light McDonald's sauce,Vegetables,6,2365.0,,,,,,not_applicable,outside_mahei7_food_components,
1006813,,Chicken shank fried in olive oil,Poultry and its products,6,760.0,,,,,,not_applicable,outside_mahei7_food_components,
1006794,,Strawberry sherbet ice cream scoops wrapped in Willy Food rice leaves,sweets,4,104.0,,,,,,not_applicable,outside_mahei7_food_components,
1006808,,Gluten-free chocolate and coconut cookies,sweets,4,120.0,,,,,,not_applicable,outside_mahei7_food_components,
1006799,,Compressed fresh yeast,Others,2,51.0,,,,,,not_applicable,outside_mahei7_food_components,
1006807,,Ben and Jerry's chocolate brownies without dairy,sweets,2,272.0,,,,,,not_applicable,outside_mahei7_food_components,
