food_id,mapping_status,hpdi_component,review_notes
1012927,mapped,legumes,principal_legume_soup
1014339,mapped,sugar_sweetened_beverages,fruit_drink_category_flavoured_drink
1013835,not_applicable,,not_sugar_sweetened_or_nonfood_sweetener
1010724,not_applicable,,conservative_no_unique_table11_group
1007071,mapped,potatoes,table11_potato_or_corn_chips
1007663,not_applicable,,conservative_no_unique_table11_group
1010044,mapped,sugar_sweetened_beverages,fruit_drink_category
1008678,mapped,miscellaneous_animal_foods,table11_mayonnaise_or_creamy_dressing
1008682,not_applicable,,outside_18_groups_condiment_additive_or_water
1012540,mapped,meat,explicit_meat
1012738,not_applicable,,outside_18_groups_condiment_additive_or_water
1014301,not_applicable,,outside_18_groups_supplement_or_additive
1014187,mapped,sweets_desserts,principal_sweet_or_dessert
1008569,mapped,legumes,table11_legume_or_soy_food
1007035,mapped,sweets_desserts,principal_sweet_or_dessert
1007945,mapped,sweets_desserts,table11_sweet_or_syrup
1009854,not_applicable,,conservative_no_unique_table11_group
1008035,mapped,fish_seafood,explicit_fish_or_seafood
1009773,mapped,vegetables,explicit_vegetable
1013010,not_applicable,,conservative_no_unique_table11_group
1011891,not_applicable,,outside_18_groups_supplement_or_additive
1008301,mapped,potatoes,table11_principal_potato_or_cor_chip
1007590,mapped,animal_fat,explicit_animal_fat
1013635,mapped,tea_coffee,explicit_tea_or_coffee
1014856,mapped,sugar_sweetened_beverages,fruit_drink_category
1008377,mapped,sweets_desserts,principal_sweet_or_dessert
1009557,mapped,fruit_juice,table11_fruit_juice_or_nectar
1009167,not_applicable,,conservative_no_unique_table11_group
1011126,not_applicable,,processed_plant_analogue_no_unique_table11_group
1012806,not_applicable,,plant_mayonnaise_no_unique_table11_group
1013763,mapped,fruit_juice,fruit_juice_or_nectar
1014422,mapped,vegetables,table11_sweet_potato_is_vegetable
1008401,not_applicable,,outside_18_groups_condiment
1014935,not_applicable,,processed_plant_analogue_no_unique_table11_group
1007404,not_applicable,,outside_18_groups_supplement_or_additive
1014607,not_applicable,,outside_18_groups_supplement_or_additive
1012049,not_applicable,,outside_18_groups_supplement_or_additive
1014071,not_applicable,,outside_18_groups_supplement_or_additive
1007295,mapped,nuts,explicit_nut_or_seed
