food_id,canonical_short_food_name,canonical_product_name,canonical_food_category,reviewed_food_category,resolved_food_category,resolved_food_category_key,category_source,food_id_event_count,food_id_weight_g_total,hpdi_component,hpdi_parent_group,suggested_hpdi_component,suggested_hpdi_parent_group,mapping_status,mapping_basis,review_notes
1013588,Beef,Beef,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,3081,404595.2,meat,animal,,,mapped,direct_food_category,
1011462,Beef,Ground beef,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,2618,268119.0,meat,animal,,,mapped,direct_food_category,
1007534,Beef,Roast beef,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,2537,227852.0,meat,animal,,,mapped,direct_food_category,
1011882,Kebab,Beef kebab,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,1826,242884.5,meat,animal,,,mapped,direct_food_category,
1006885,Entrecote,Beef entrecote,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,1569,318234.0,meat,animal,,,mapped,direct_food_category,
1010030,Steak,beef steak,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,1420,262229.0,meat,animal,,,mapped,direct_food_category,
1006772,Turkey Shawarma,Roasted turkey shawarma,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,1240,217166.8,meat,animal,,,mapped,direct_food_category,
1010868,Meatballs,Beef meatballs in tomato sauce and soy oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,1062,201445.6,meat,animal,,,mapped,direct_food_category,
1010953,Kebab,Beef kebab on the fire,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,958,129371.25,meat,animal,,,mapped,direct_food_category,
1010421,Bolognese,Bolognese sauce with olive oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,921,111310.51,meat,animal,,,mapped,direct_food_category,
1007427,Beef,Gliding beef,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,825,111907.85,meat,animal,,,mapped,direct_food_category,
1012125,Turkey Shawarma,Turkey shawarma in pita,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,823,292386.4,meat,animal,,,mapped,direct_food_category,
1011068,Meatballs,Beef meatballs baked without oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,761,108641.2,meat,animal,,,mapped,direct_food_category,
1007219,Meatballs,Beef meatballs cooked without sauce,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,739,103657.0,meat,animal,,,mapped,direct_food_category,
1012890,Veal Meatballs,Minced veal or cooked meatball,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,701,58266.5,meat,animal,,,mapped,direct_food_category,
1008400,Beef,Fresh beef loin/ sirloin,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,683,96575.0,meat,animal,,,mapped,direct_food_category,
1011305,Steak,Roast beef steak,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,639,116189.0,meat,animal,,,mapped,direct_food_category,
1010653,Beef,Beef slider with sauce,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,620,101277.0,meat,animal,,,mapped,direct_food_category,
1011716,Hamburger,Beef hamburger 25% grilled fat,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,603,102354.0,meat,animal,,,mapped,direct_food_category,
1013248,Meatballs,Beef meatballs fried without oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,548,62213.0,meat,animal,,,mapped,direct_food_category,
1010587,Meatballs,Beef meatballs cooked in Segev tomato sauce,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,541,82068.5,meat,animal,,,mapped,direct_food_category,
1012405,Broth,Clear meat soup,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,518,141373.0,meat,animal,,,mapped,direct_food_category,
1013058,Meatballs,Beef patties fried with canola oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,518,56389.0,meat,animal,,,mapped,direct_food_category,
1011257,Chopped Liver,Chopped liver with canola oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,509,28335.0,meat,animal,,,mapped,direct_food_category,
1008422,Beef,roast beef,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,479,50777.0,meat,animal,,,mapped,direct_food_category,
1009083,Moussaka,Beef Moussaka,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,452,109523.0,meat,animal,,,mapped,direct_food_category,
1009098,Carpaccio,Carpaccio,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,449,41721.64,meat,animal,,,mapped,direct_food_category,
1007644,Roast beef,Roast beef,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,433,35812.0,meat,animal,,,mapped,direct_food_category,
1012907,Steak,Eye beef steak entrecote,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,429,89925.6,meat,animal,,,mapped,direct_food_category,
1012479,Veal kebabs,Veal kebab,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,425,56572.0,meat,animal,,,mapped,direct_food_category,
1010613,Pork,Cooked smoked or salted pork cutlet/bacon,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,410,21066.0,meat,animal,,,mapped,direct_food_category,
1011005,Hamburger,Beef hamburger 15% grilled fat,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,406,61396.35,meat,animal,,,mapped,direct_food_category,
1008253,Beef Cholent,"Beef stew with wheat, potatoes and egg","Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,367,107512.5,meat,animal,,,mapped,direct_food_category,
1012160,Lamb Kebabs,Mutton kebab,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,354,50458.4,meat,animal,,,mapped,direct_food_category,
1014862,Beef,Beef asado clean of fat and bone in a wet roast,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,345,56332.0,meat,animal,,,mapped,direct_food_category,
1012400,Steak,Grilled beef steak,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,317,69739.9,meat,animal,,,mapped,direct_food_category,
1010163,Hamburger,Beef hamburger 15% fat,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,314,52834.6,meat,animal,,,mapped,direct_food_category,
1012530,Minced meat,Ground beef fried in olive oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,277,28369.0,meat,animal,,,mapped,direct_food_category,
1008365,Beef tongue,Boiled tongue,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,270,25671.5,meat,animal,,,mapped,direct_food_category,
