metric,value
input_rows,2640959
selected_rows,2059935
excluded_other_cohort_or_stage_rows,581024
invalid_numeric_weight_g,0
negative_weight_g_rows,0
invalid_numeric_calories_kcal,0
negative_calories_kcal_rows,0
missing_food_id_rows,0
unmatched_food_id_rows,0
script_version,2026-08-08-hpdi-intakes-v3
selected_cohort,10k
selected_research_stage,00_00_visit
daily_rows,125374
participant_rows,9737
unique_participants,9737
minimum_collection_date,2019-09-01
maximum_collection_date,2023-03-21
classified_food_event_share,0.996091138798069
unresolved_food_event_share,0.003908861201931
weight_g_event_coverage,0.999727175857491
calories_kcal_event_coverage,0.997552835405001
participants_with_positive_mean_daily_calories,9737
mapped_component_missing_weight_event_count,476
participants_with_all_18_component_weights_complete,9378
participants_with_incomplete_component_weights,359
mapped_event_count,1958800
mapped_event_share,0.950903790653588
not_applicable_event_count,93083
not_applicable_event_share,0.04518734814448
unmapped_missing_labels_event_count,8052
unmapped_missing_labels_event_share,0.003908861201931
unmatched_food_id_event_count,0
unmatched_food_id_event_share,0
missing_food_id_event_count,0
missing_food_id_event_share,0
whole_grains_event_count,79991
participants_complete_whole_grains,9727
fruits_event_count,181530
participants_complete_fruits,9703
vegetables_event_count,347881
participants_complete_vegetables,9614
nuts_event_count,103712
participants_complete_nuts,9735
legumes_event_count,51760
participants_complete_legumes,9733
vegetable_oils_event_count,90407
participants_complete_vegetable_oils,9735
tea_coffee_event_count,204164
participants_complete_tea_coffee,9652
fruit_juice_event_count,15681
participants_complete_fruit_juice,9732
refined_grains_event_count,221792
participants_complete_refined_grains,9689
potatoes_event_count,7879
participants_complete_potatoes,9737
sugar_sweetened_beverages_event_count,8266
participants_complete_sugar_sweetened_beverages,9736
sweets_desserts_event_count,212633
participants_complete_sweets_desserts,9722
animal_fat_event_count,10937
participants_complete_animal_fat,9736
dairy_event_count,218959
participants_complete_dairy,9701
eggs_event_count,50024
participants_complete_eggs,9734
fish_seafood_event_count,39794
participants_complete_fish_seafood,9730
meat_event_count,99768
participants_complete_meat,9719
miscellaneous_animal_foods_event_count,13622
participants_complete_miscellaneous_animal_foods,9736
